"","x"
"mean bar return",1.60917161010916e-05
"trade",30
"win rate",0.6
"up day",0.10597637248089
"down day",0.117790132036136
"holding period",21.4666666666667
"sd",0.000997508686852701
"sr",0.0161319057299275
"mdd",0.0471706113321185
"mdd period",982
