,70,74,78,82,86,90,94,98,102,106,110,114,118,122,126,130,134,138,142,146,150
70,NA,-2.09E-06,-2.95E-06,-2.99E-06,-2.28E-06,-2.08E-06,-2.66E-06,-2.73E-06,-2.08E-06,-1.60E-06,-2.43E-06,-1.99E-06,-1.59E-06,-1.42E-06,-1.91E-06,-1.73E-06,-1.79E-06,-1.40E-06,-1.23E-06,-1.14E-06,-1.17E-06
74,NA,NA,-2.85E-06,-2.87E-06,-2.66E-06,-2.05E-06,-2.08E-06,-1.98E-06,-1.15E-06,-1.52E-06,-1.85E-06,-1.50E-06,-1.37E-06,-1.45E-06,-1.30E-06,-1.06E-06,-1.44E-06,-7.18E-07,-1.17E-06,-1.37E-06,-1.52E-06
78,NA,NA,NA,-3.49E-06,-3.10E-06,-2.66E-06,-2.20E-06,-6.68E-07,-9.86E-07,-1.17E-06,-1.28E-06,-1.31E-06,-1.66E-06,-7.30E-07,-9.02E-08,1.24E-07,-3.68E-07,-3.16E-07,-1.07E-06,-1.73E-06,-1.89E-06
82,NA,NA,NA,NA,-3.67E-06,-1.52E-06,-1.38E-06,-1.83E-06,-1.43E-06,-7.75E-07,-5.54E-07,-4.08E-07,-2.23E-07,4.21E-07,8.15E-07,4.07E-08,-3.68E-07,-5.02E-07,-1.46E-06,-1.15E-06,-1.50E-06
86,NA,NA,NA,NA,NA,-4.76E-07,-2.06E-06,-1.77E-06,-1.29E-06,-1.18E-06,-2.65E-07,9.18E-07,2.18E-07,2.16E-07,7.04E-07,2.95E-07,-2.34E-07,-8.56E-07,-8.43E-07,-1.02E-06,-6.94E-07
90,NA,NA,NA,NA,NA,NA,-1.52E-06,-1.28E-06,-1.05E-06,-3.34E-07,-3.87E-07,-8.35E-08,-6.54E-07,-2.02E-07,2.50E-07,-1.65E-07,1.85E-08,-6.96E-07,-1.04E-06,-7.40E-07,-3.23E-07
94,NA,NA,NA,NA,NA,NA,NA,-7.32E-07,-5.24E-07,-6.10E-07,-1.26E-06,-9.94E-07,-1.54E-06,-6.13E-07,-5.11E-07,-9.31E-08,4.71E-08,-4.94E-07,-6.38E-07,-5.99E-07,4.65E-08
98,NA,NA,NA,NA,NA,NA,NA,NA,-3.08E-07,1.46E-07,-5.21E-07,-2.36E-06,-1.30E-06,-3.90E-07,-2.81E-07,-3.95E-07,2.86E-08,7.25E-07,7.00E-07,3.71E-07,2.80E-07
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.91E-07,-7.26E-07,-1.52E-06,-4.87E-07,7.43E-07,7.68E-08,4.95E-07,8.52E-07,8.09E-07,7.97E-07,5.98E-07,8.23E-07
106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.63E-06,3.76E-08,-3.83E-08,9.50E-07,9.52E-07,9.67E-07,8.04E-07,1.18E-06,1.14E-06,3.20E-07,9.46E-07
110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.97E-07,7.11E-07,1.07E-06,6.39E-07,4.06E-07,7.26E-07,4.93E-08,3.83E-07,9.36E-07,1.23E-06
114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.45E-07,4.03E-07,4.63E-07,5.92E-07,7.96E-07,2.38E-07,2.74E-07,1.06E-06,1.12E-06
118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.13E-07,2.39E-07,9.37E-08,5.44E-07,-1.00E-07,2.12E-07,9.65E-07,1.04E-06
122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83E-07,-6.48E-07,-2.35E-07,5.78E-07,6.36E-07,8.03E-07,3.62E-07
126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57E-07,4.03E-07,-2.13E-07,-1.40E-07,2.84E-07,5.72E-08
130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.79E-08,-7.17E-07,1.06E-07,-2.58E-08,-4.07E-07
134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.70E-07,-1.33E-07,1.53E-07,7.73E-07
138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74E-07,7.98E-07,3.04E-07
142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62E-07,-5.21E-07
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36E-07
150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2160,,,,,,,,,,,,,,,,,,,,
