,x
1,-1.03E-05
2,-1.49E-05
3,-2.11E-05
4,-1.19E-05
5,-1.08E-05
6,-5.77E-06
7,-1.45E-05
8,-5.06E-06
9,-1.32E-05
10,-6.30E-06
11,-5.12E-06
12,-3.61E-06
13,-4.40E-06
14,-3.64E-06
15,-4.81E-06
16,-2.58E-06
17,4.66E-06
18,5.82E-06
19,4.15E-06
20,-9.41E-06
21,-1.12E-05
22,-1.51E-05
23,-1.56E-05
24,-1.72E-05
25,-1.25E-05
