"","1","2","3","4","5","6","7","8","9","10"
"1",-2.29352955634247e-05,-1.29950424847244e-05,-2.7387505179477e-05,-3.14841895261041e-05,-2.13511488119534e-05,-2.16653837017874e-05,-2.39725958185668e-05,-2.15477511473598e-05,-2.21320200838586e-05,-2.30031139592685e-05
"2",-2.52723999428287e-05,-1.84347954629053e-05,-3.66698166058517e-05,-3.7149597585022e-05,-2.79256867316871e-05,-2.88497801651161e-05,-2.94769256770853e-05,-2.98674666386442e-05,-2.73035998484301e-05,-2.83504440053111e-05
"3",-2.0181054209777e-05,-9.62208209517463e-06,-2.5999526473274e-05,-2.88230820848886e-05,-2.21188044758072e-05,-2.17678424289845e-05,-2.15700873570815e-05,-2.13622106055328e-05,-2.46370464363788e-05,-2.5057660691328e-05
"4",-1.14924000754576e-05,-3.43369716115495e-06,-1.81122192025489e-05,-3.30641487563519e-05,-2.71606483999436e-05,-2.46165069895029e-05,-2.51996511985533e-05,-2.2656957363437e-05,-2.5698501595857e-05,-2.53706862314165e-05
"5",-2.32936248204285e-05,-2.12109443478229e-05,-3.24940316537504e-05,-4.79316739792985e-05,-4.17210332071906e-05,-3.90096182674602e-05,-4.1390015942434e-05,-2.72573100869291e-05,-2.96274726374183e-05,-2.90747657881847e-05
"6",-1.91148554420727e-05,-1.82852303226245e-05,-2.43878733004912e-05,-3.33098753748756e-05,-2.83306415493965e-05,-2.60733022452557e-05,-2.81818428034975e-05,-1.65749925519296e-05,-1.76943191422494e-05,-1.5039142116077e-05
"7",-2.12005243225377e-05,-1.71808156262829e-05,-2.23180502647321e-05,-3.17523513115622e-05,-3.08013038821485e-05,-2.79139873171463e-05,-3.21101558221286e-05,-2.05033055705607e-05,-2.13895080166602e-05,-1.80908220389963e-05
"8",-2.1010538232927e-05,-1.46607540300697e-05,-1.45279302995136e-05,-2.4957200726663e-05,-2.59673176430617e-05,-2.35947349964594e-05,-2.90676476917257e-05,-2.03117442226543e-05,-2.11979466687538e-05,-1.84377327897415e-05
"9",-2.46715889294811e-05,-2.24345816561705e-05,-1.99575199164325e-05,-3.00787952773727e-05,-3.10889121937714e-05,-2.59498034994992e-05,-3.15767502374811e-05,-2.39982441945623e-05,-2.48844466406618e-05,-2.07001433269047e-05
"10",-2.83392889304451e-05,-2.92916965943164e-05,-2.64580071993557e-05,-3.65792825602958e-05,-3.75893994766946e-05,-3.24502907824224e-05,-3.97455057239431e-05,-3.21669996810244e-05,-3.30532021271238e-05,-2.76399696458186e-05
