"","x"
"1",-0.0176866602410283
"2",-0.0059647223070446
"3",-0.0193684253448308
"4",-0.00493085655599127
"5",-0.00194653912050933
"6",-0.0212858541697329
"7",-0.0207237672423315
"8",0.000927411503064555
"9",0.00203645276348269
"10",0.000447306975931741
"11",0.00682350025647387
"12",0.00819221016643245
"13",0.000650606708220939
"14",-0.00449478381834083
"15",-0.00642091759090654
"16",-0.000642948076269334
"17",-0.00316604083236913
"18",-0.0124224996367094
"19",-0.00323796174697761
"20",0.00101050052067199
"21",-0.0055164776500943
"22",-0.0083079033873232
"23",-0.012019103882966
"24",-0.00939258494199336
"25",-0.000228229144170539
