"","x"
"1",1.57068348583311e-06
"2",2.98222511512103e-05
"3",2.11596978272599e-05
"4",1.89184144274174e-05
"5",2.05433903485392e-05
"6",1.92995568667319e-05
"7",1.87299513655093e-05
"8",1.71366951670152e-05
"9",1.82237473159435e-05
"10",1.47909729061378e-05
"11",1.49389260264809e-05
"12",1.5748801842391e-05
"13",9.57679762029877e-06
"14",1.1900055461521e-05
"15",9.87371062364989e-06
"16",1.31222593118246e-05
"17",1.10382421049433e-05
"18",1.04617956152844e-05
"19",1.26704200057858e-05
"20",1.273745211305e-05
"21",9.64176165449666e-06
"22",8.03719070218706e-06
"23",6.09194183301696e-06
"24",5.87602108956621e-06
"25",5.87602108956621e-06
