,x
1,-0.006428687
2,-0.009375076
3,-0.013375799
4,-0.007751623
5,-0.006889991
6,-0.003748172
7,-0.009616279
8,-0.003313398
9,-0.009161172
10,-0.004401765
11,-0.003592692
12,-0.002543679
13,-0.003144547
14,-0.002675124
15,-0.003560322
16,-0.001915577
17,0.003494691
18,0.004386656
19,0.003158546
20,-0.008567377
21,-0.010304189
22,-0.013918886
23,-0.014491769
24,-0.016100136
25,-0.011969099
